,city,country,lat,lon,temp,temp_max,humidity,wind_speed,cloudiness,date
0,Mar del Plata,AR,-38.0023,-57.5575,89.35,89.6,40,11.5,20,1611505055
1,Kamaishi,JP,39.2667,141.8833,34.66,34.66,85,4.07,100,1611505055
2,Hobart,AU,-42.8794,147.3294,63.95,68.0,49,6.91,87,1611505055
3,Lopatino,RU,52.6195,45.8118,33.1,33.1,94,11.99,100,1611505055
4,Lüderitz,NA,-26.6481,15.1594,71.37,71.37,53,29.97,77,1611505055
5,Nikolskoye,RU,59.7035,30.7861,35.2,35.6,93,8.95,90,1611505056
6,Punta Arenas,CL,-53.15,-70.9167,62.6,62.6,36,14.97,0,1611505056
7,Quatre Cocos,MU,-20.2078,57.7625,78.22,80.6,78,3.44,40,1611505056
8,Guozhen,CN,34.3659,107.359,37.27,37.27,77,3.4,100,1611505056
9,Bandarbeyla,SO,9.4942,50.8122,73.87,73.87,71,19.51,25,1611505056
10,George Town,MY,5.4112,100.3354,82.04,84.0,89,9.22,40,1611505057
11,Jinan,CN,36.6683,116.9972,42.01,42.01,53,2.37,100,1611505057
12,Uzhur,RU,55.3036,89.8339,-13.49,-13.49,88,6.17,100,1611505057
13,Bengkulu,ID,-3.8004,102.2655,78.42,78.42,80,4.72,99,1611505057
14,Jacareacanga,BR,-6.2222,-57.7528,80.17,80.17,88,0.56,89,1611505058
15,Mataura,NZ,-46.1927,168.8643,57.0,57.0,89,11.01,74,1611505058
16,Ketchikan,US,55.3422,-131.6461,33.8,33.8,100,4.61,90,1611505058
17,Butaritari,KI,3.0707,172.7902,78.8,78.8,80,10.67,25,1611505058
18,Laguna,US,38.421,-121.4238,39.49,39.99,93,6.91,20,1611505058
19,Puerto Nariño,CO,-3.7703,-70.3831,84.2,84.2,79,2.3,75,1611505058
20,Albany,US,42.6001,-73.9662,16.16,18.0,39,4.0,0,1611504766
21,Sioux Lookout,CA,50.1001,-91.917,10.4,10.4,79,13.8,90,1611505059
22,Rikitea,PF,-23.1203,-134.9692,79.25,79.25,65,8.52,67,1611505059
23,Ponta do Sol,PT,32.6667,-17.1,63.46,66.0,83,5.01,65,1611505059
24,Atuona,PF,-9.8,-139.0333,77.65,77.65,77,15.08,5,1611504912
25,Grand-Santi,GF,4.25,-54.3833,82.22,82.22,80,4.29,52,1611505059
26,Provideniya,RU,64.3833,-173.3,3.07,3.07,85,1.28,6,1611505060
27,Iqaluit,CA,63.7506,-68.5145,1.4,1.4,78,20.71,75,1611505060
28,Bredasdorp,ZA,-34.5322,20.0403,71.6,71.6,46,16.11,82,1611505060
29,Hambantota,LK,6.1241,81.1185,78.8,78.8,89,8.05,40,1611505060
30,Yellowknife,CA,62.456,-114.3525,-16.19,-16.01,76,6.91,75,1611505060
31,Neuquén,AR,-38.9516,-68.0591,84.2,84.2,42,2.3,0,1611505061
32,Bangil,ID,-7.5994,112.8186,75.2,75.2,94,8.05,40,1611505061
33,New Norfolk,AU,-42.7826,147.0587,61.97,64.99,74,1.01,75,1611505061
34,Ixtapa,MX,20.7,-105.2,71.4,73.0,83,3.44,40,1611505061
35,Kloulklubed,PW,7.0419,134.2556,80.6,80.6,78,8.05,75,1611505061
36,Te Anau,NZ,-45.4167,167.7167,54.82,54.82,86,6.04,99,1611505062
37,Torbay,CA,47.6666,-52.7314,31.53,33.01,69,12.66,20,1611505062
38,Saint-Philippe,RE,-21.3585,55.7679,76.39,80.6,74,5.75,20,1611505062
39,Maricá,BR,-22.9194,-42.8186,87.35,90.0,61,12.66,20,1611504784
40,Chokurdakh,RU,70.6333,147.9167,-32.31,-32.31,83,11.41,100,1611505062
41,Tomatlán,MX,19.9333,-105.25,79.45,79.45,45,1.77,77,1611505063
42,Khatanga,RU,71.9667,102.5,-19.48,-19.48,87,10.0,100,1611505063
43,Bambous Virieux,MU,-20.3428,57.7575,78.46,80.6,78,3.44,40,1611505063
44,Vaini,TO,-21.2,-175.2,71.6,71.6,100,11.61,90,1611505063
45,Longyearbyen,SJ,78.2186,15.6401,15.8,15.8,62,16.11,75,1611505010
46,Chiang Klang,TH,19.2938,100.8617,68.92,68.92,54,1.23,18,1611505064
47,Cabo San Lucas,MX,22.8909,-109.9124,60.96,63.0,72,14.97,1,1611504931
48,Kazanskoye,RU,55.6448,69.235,-19.71,-19.71,85,9.84,100,1611505064
